NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/josh-barrett-1.html,*2006,Arizona State,Pac-10,JR,DB,13.0,58.0,24.0,82.0,7.5,1.0,3.0,42.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/josh-barrett-1.html,*2007,Arizona State,Pac-10,SR,DB,11.0,25.0,13.0,38.0,4.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/josh-barrett-1.html,Career,Arizona State,,,,,109.0,48.0,157.0,14.5,3.0,6.0,77.0,12.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/beau-bell-1.html,2004,UNLV,MWC,FR,LB,11.0,,,,,,0.0,0.0,,0.0,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/beau-bell-1.html,2005,UNLV,MWC,SO,LB,11.0,50.0,42.0,92.0,7.5,3.5,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/beau-bell-1.html,2006,UNLV,MWC,JR,LB,7.0,41.0,35.0,76.0,9.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/beau-bell-1.html,2007,UNLV,MWC,SR,LB,12.0,79.0,47.0,126.0,9.5,3.0,4.0,13.0,3.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/beau-bell-1.html,Career,UNLV,,,,,170.0,124.0,294.0,26.0,10.5,4.0,13.0,3.3,1.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/martellus-bennett-1.html,2005,Texas A&M,Big 12,FR,TE,10.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,18.0,162.0,9.0,3.0,18.0,162.0,9.0,3.0,1.0,3.0,3.0,0.0,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/martellus-bennett-1.html,*2006,Texas A&M,Big 12,SO,TE,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,497.0,13.1,3.0,38.0,497.0,13.1,3.0,,,,,,,,,,,,,,,,,,
