Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2000,Roger Roesler,Texas,OG,77.4,314,10.38,34,,5.33,25,29.5,101,4.76,8.31,
2000,Phillip Rogers,Georgia Tech,RB,73.1,232,9.88,32,,4.73,19,37,124,4.31,7.21,12.17
2000,Lewis Sanders,Maryland,CB,73,202,,,,4.5,10,37,116,9.99,9.99,
2000,Ketric Sanford,Houston,RB,67.5,199,9,31.5,,4.62,12,32,118,4.3,6.63,11.49
2000,Sekou Sanyika,California,OLB,75.3,241,10,32.38,,4.75,21,32.5,111,4.38,7.33,12.08
2000,Manuia Savea,Arizona,OG,74.3,308,10.63,32.5,,5.34,24,25,92,9.99,9.99,
2000,Gari Scott,Michigan State,WR,72.3,194,9.13,31.25,,4.6,,33.5,119,9.99,9.99,
2000,Tony Scott,North Carolina State,CB,70.3,193,9,30.25,,4.55,11,34,116,4.24,7.45,11.48
2000,Richard Seals,Utah,DT,74,316,10,33.5,,5.15,24,28.5,102,4.6,7.78,
2000,Aaron Shea,Michigan,FB,76.3,253,9.88,31.5,,4.83,,37.5,114,4.3,6.72,11.62
2000,Jacoby Shepherd,Oklahoma State,CB,73.5,195,8.5,31.5,,4.55,5,35,120,9.99,9.99,
2000,Wes Shivers,Mississippi State,OT,77.4,318,9.25,34.25,,5.68,18,22.5,98,4.81,8.48,
2000,Mark Simoneau,Kansas State,OLB,72,237,8.88,30.75,,4.63,24,36,117,4.09,7.08,11.21
2000,Peter Sirmon,Oregon,ILB,73.9,246,9.63,31.13,,4.86,20,34.5,115,4.27,7.21,11.67
2000,T.J. Slaughter,Southern Mississippi,ILB,72.1,247,10,32.25,,4.91,24,30,112,4.26,7.08,12.15
2000,Dwyte Smiley,Youngstown State (OH),FS,73,198,9.63,31.88,,4.61,13,35,115,4.29,7.18,11.82
2000,Jamel Smith,Virginia Tech,ILB,72.5,245,9.75,32,,5.19,,29.5,108,4.58,7.51,12.53
2000,Marvel Smith,Arizona State,OT,77,320,,,,5.34,24,27.5,100,4.84,7.87,
2000,Paul Smith,Texas-El Paso,FB,70.6,220,9.25,31,,4.65,25,26.5,111,4.29,7.02,
2000,Terrelle Smith,Arizona State,FB,72,249,10,31.13,,5.01,19,32.5,109,4.85,8.38,12.82
2000,R.Jay Soward,Southern California,WR,69.5,177,9.5,31.75,,4.41,,35,124,9.99,9.99,
2000,Rashon Spikes,North Carolina State,RB,70.5,204,9.13,31,,4.84,13,33,113,4.47,7.18,11.94
2000,Quinton Spotwood,Syracuse,WR,71,184,9.13,30.25,,4.55,,33.5,123,9.99,9.99,
2000,John St.Clair,Virginia,C,77,302,,,,5.2,25,,,9.99,9.99,
2000,Dave Stachelski,Boise State,TE,75.1,250,9.5,31.75,,4.85,24,38,115,4.14,6.84,11.12
2000,Shyrone Stith,Virginia Tech,RB,67.4,204,9.63,30.25,,4.65,13,35,111,4.14,7.14,11.2
2000,Jay Tant,Northwestern,TE,75,255,10.38,32,,4.75,31,,,9.99,9.99,
2000,Mark Tauscher,Wisconsin,OG,75.4,318,10,32.25,,5.43,22,27,90,4.84,7.91,
2000,Shannon Taylor,Virginia,OLB,74.9,249,9.5,32.5,,4.65,,34.5,115,9.99,9.99,
2000,Travis Taylor,Florida,WR,72.9,199,9.25,31.5,,4.43,,37,118,9.99,7.15,
2000,Adalius Thomas,Southern Mississippi,DE,74.4,270,9.25,33,,4.57,,38.5,120,4.42,9.99,
2000,Jason Thomas,Hampton (VA),OG,75.4,300,10.88,33.75,,5.24,23,29.5,100,9.99,7.99,
2000,Michael Thompson,Tennessee State,OT,76.5,305,11,34.5,,5.3,16,26,104,4.73,7.99,
2000,Travares Tillman,Georgia Tech,FS,73.3,194,8.25,30.75,,4.6,15,37.5,123,4.29,6.95,11.34
2000,Mao Tosi,Idaho,DT,77.1,310,10.25,34.75,,5.29,19,28.5,99,4.6,7.72,
2000,Mac Tuiaea,Washington,DT,77.9,296,10,33.5,,5.1,25,29,99,4.72,7.82,
2000,Ryan Tujague,Washington State,OG,77.1,297,9.5,33.5,,5.2,21,27,96,4.95,8.18,
2000,Jeff Ulbrich,Hawaii,ILB,72.4,249,9.75,31,,4.7,24,32,109,4.3,7.23,11.63
2000,Brian Urlacher,New Mexico,OLB,75.9,258,9.88,33,,4.61,27,34,122,4.18,6.94,11.1
2000,Darrick Vaughn,Texas State,CB,70.9,196,9.25,30.63,,4.55,14,36.5,121,4.16,7.09,11.47
2000,Andy Vincent,Texas A&M,OG,76,306,,,,5.2,14,28.5,108,4.42,7.54,
2000,Todd Wade,Mississippi,OT,79.9,326,10.75,34.75,,5.25,29,27.5,101,4.68,7.68,
2000,Troy Walters,Stanford,WR,66.5,171,9,28.5,,4.55,,32.5,106,3.84,6.61,10.98
2000,Steve Warren,Nebraska,DT,72.6,307,10,31.5,,5.14,29,30.5,105,4.56,7.97,
2000,Marcus Washington,Auburn,OLB,75.3,252,9,32,,4.7,,35,118,4.49,6.91,11.44
2000,Jason Webster,Texas A&M,CB,69.1,180,9.38,30.5,,4.46,17,35.5,122,3.98,6.76,11.35
2000,James Whalen,Kentucky,TE,74.5,228,10,31.5,,4.79,,31,110,4.22,7.42,11.95
2000,Austin Wheatley,Iowa,TE,75.9,254,10.5,32.63,,4.69,,32.5,121,4.18,6.97,11.35
2000,Damon Wheeler,Colorado,CB,68.6,179,9,29,,4.56,11,35,115,4.27,7.21,11.47
2000,Anthony White,Kentucky,RB,72.3,195,9.5,31.75,,4.7,,32.5,118,4.24,7.05,11.46
2000,Dez White,Georgia Tech,WR,73.3,218,10.13,32.75,,4.62,,37.5,124,4.09,6.91,11.19
