Year,Player_NCAA_ID,NCAA_Link,Rk,Player,School,Conf,G,Punts,Yds,Avg
2016,spencer-smith-6,/cfb/players/spencer-smith-6.html,7,Spencer Smith*,Memphis,American,13,45,2028,45.1
2016,sean-wale-1,/cfb/players/sean-wale-1.html,8,Sean Wale*,Boise State,MWC,13,50,2248,45.0
2016,dylan-klumph-1,/cfb/players/dylan-klumph-1.html,9,Dylan Klumph,California,Pac-12,12,50,2240,44.8
2016,tyler-sarrzin-1,/cfb/players/tyler-sarrzin-1.html,10,Tyler Sarrzin*,Southern Mississippi,CUSA,13,53,2371,44.7
2016,rigoberto-sanchez-1,/cfb/players/rigoberto-sanchez-1.html,11,Rigoberto Sanchez*,Hawaii,MWC,14,70,3122,44.6
2016,trevor-daniel-1,/cfb/players/trevor-daniel-1.html,12,Trevor Daniel*,Tennessee,SEC,13,70,3120,44.6
2016,brandon-mckee-1,/cfb/players/brandon-mckee-1.html,13,Brandon McKee*,South Alabama,Sun Belt,12,48,2136,44.5
2016,toby-baker-1,/cfb/players/toby-baker-1.html,14,Toby Baker*,Arkansas,SEC,11,57,2532,44.4
2016,nicholas-conte-1,/cfb/players/nicholas-conte-1.html,15,Nicholas Conte,Virginia,ACC,12,74,3279,44.3
2016,michael-carrizosa-1,/cfb/players/michael-carrizosa-1.html,16,Michael Carrizosa,San Jose State,MWC,12,61,2703,44.3
2016,steven-coutts-1,/cfb/players/steven-coutts-1.html,17,Steven Coutts*,Louisiana,Sun Belt,13,64,2825,44.1
2016,hayden-hunt-1,/cfb/players/hayden-hunt-1.html,18,Hayden Hunt*,Colorado State,MWC,12,56,2469,44.1
2016,matt-haack-1,/cfb/players/matt-haack-1.html,19,Matt Haack,Arizona State,Pac-12,12,66,2897,43.9
2016,mason-king-1,/cfb/players/mason-king-1.html,20,Mason King*,Louisville,ACC,13,55,2413,43.9
2016,corey-fatony-1,/cfb/players/corey-fatony-1.html,21,Corey Fatony,Missouri,SEC,12,66,2894,43.8
2016,justin-vogel-1,/cfb/players/justin-vogel-1.html,22,Justin Vogel*,Miami (FL),ACC,13,64,2803,43.8
2016,eric-keena-1,/cfb/players/eric-keena-1.html,23,Eric Keena*,North Texas,CUSA,13,72,3148,43.7
2016,alex-boy-2,/cfb/players/alex-boy-2.html,24,Alex Boy,Nevada,MWC,12,51,2230,43.7
